70,287,80,22
57,26,56,32
634,57,31,23
575,22,97,29
53,28,35,29
292,163,223,83
51,264,57,57
650,22,29,29
126,341,80,22
57,364,55,23
614,34,74,18
571,22,89,25
645,25,40,22
592,27,74,26
634,55,31,23
616,22,56,29
51,22,48,26
35,25,28,22
608,96,78,18
56,349,116,12
567,28,98,23
608,49,78,17
58,26,53,17
70,324,80,22
634,28,31,23
49,346,125,28
52,22,78,32
643,22,29,29
53,38,44,37
629,342,40,28
43,24,116,31
583,37,103,23
47,21,57,33
613,21,48,26
590,27,78,26
60,364,212,24
618,38,40,30
62,36,98,12
47,50,57,33
536,21,78,21
609,22,51,25
637,27,28,28
576,22,103,29
645,25,27,23
345,308,28,28
61,35,71,22
535,28,151,17
610,35,76,18
607,21,78,21
590,23,80,22
620,30,32,33
632,28,33,35
613,28,73,17
640,24,21,22
64,367,46,17
36,25,27,23
643,66,29,29
640,60,21,23
52,31,61,30
637,22,23,25
38,34,34,29
58,27,97,30
565,36,103,34
83,31,78,32
503,23,167,22
552,23,118,22
63,37,93,11
608,28,78,17
36,25,40,22
606,21,57,33
112,25,40,22
58,26,77,33
130,338,80,22
239,266,80,22
274,181,173,44
565,28,121,17
